1,2,3,4,5,6,7,8,9,10,11,12,Hour
334,356,342,303,441,484,576,543,435,466,372,353,0
301,292,304,261,374,422,446,442,366,402,306,335,1
241,218,208,175,287,319,369,337,325,334,270,249,2
216,212,178,144,193,266,288,254,251,270,205,233,3
179,208,188,144,150,210,222,222,229,219,197,184,4
217,262,183,137,207,217,228,228,232,248,220,223,5
389,349,275,210,299,312,328,309,353,434,295,282,6
624,808,479,382,395,436,476,500,675,659,601,483,7
791,1034,630,422,499,553,611,647,832,870,742,593,8
748,839,620,510,583,595,684,712,819,772,709,615,9
704,900,666,567,672,746,817,854,730,834,753,753,10
852,1012,753,705,833,902,959,1028,942,963,876,842,11
916,1064,912,791,1021,1145,1136,1181,1059,1034,940,949,12
943,1095,873,859,1114,1174,1257,1213,1017,1063,983,1004,13
971,1171,1050,937,1157,1264,1320,1329,1257,1200,1013,1005,14
1122,1334,1128,946,1272,1379,1412,1341,1440,1477,1229,1109,15
1129,1247,1155,991,1272,1430,1419,1464,1465,1461,1113,1115,16
1186,1146,955,887,1176,1402,1398,1432,1312,1280,1124,1298,17
1036,1056,802,765,1012,1116,1215,1166,1028,1126,973,1022,18
725,749,689,546,793,889,881,888,843,938,726,727,19
601,614,552,549,662,660,751,862,749,736,581,570,20
483,487,466,502,623,714,718,727,626,626,462,535,21
450,401,431,386,586,675,688,676,529,538,468,460,22
412,384,361,358,474,551,661,610,537,519,410,399,23
